id,study_hours,sleep_hours,social_media_hours,exam_score,stress_level
1,2,6,5,55,High
2,5,7,2,75,Low
3,1,5,6,45,High
4,4,6,3,70,Medium
5,6,8,1,85,Low
6,3,6,4,60,Medium
7,2,5,5,50,High
8,7,7,2,90,Low
9,4,6,3,65,Medium
10,1,4,7,40,High
11,5,7,2,78,Low
12,3,6,4,62,Medium
13,2,5,6,48,High
14,6,8,1,88,Low
15,4,6,3,68,Medium
16,1,5,7,42,High
17,5,7,2,80,Low
18,3,6,4,63,Medium
19,2,5,6,47,High
20,6,8,1,89,Low
21,4,6,3,66,Medium
22,1,4,7,41,High
23,5,7,2,79,Low
24,3,6,4,61,Medium
25,2,5,6,49,High
26,6,8,1,87,Low
27,4,6,3,67,Medium
28,1,5,7,43,High
29,5,7,2,81,Low
30,3,6,4,64,Medium
31,2,5,6,46,High
32,6,8,1,90,Low
33,4,6,3,69,Medium
34,1,4,7,39,High
35,5,7,2,77,Low
36,3,6,4,60,Medium
37,2,5,6,48,High
38,6,8,1,86,Low
39,4,6,3,65,Medium
40,1,5,7,44,High
41,5,7,2,82,Low
42,3,6,4,63,Medium
43,2,5,6,47,High
44,6,8,1,88,Low
45,4,6,3,68,Medium
46,1,4,7,42,High
47,5,7,2,80,Low
48,3,6,4,62,Medium
49,2,5,6,49,High
50,6,8,1,89,Low
51,4,6,3,66,Medium
52,1,5,7,41,High
53,5,7,2,78,Low
54,3,6,4,61,Medium
55,2,5,6,48,High
56,6,8,1,87,Low
57,4,6,3,67,Medium
58,1,4,7,40,High
59,5,7,2,79,Low
60,3,6,4,64,Medium
61,2,5,6,46,High
62,6,8,1,90,Low
63,4,6,3,69,Medium
64,1,5,7,43,High
65,5,7,2,81,Low
66,3,6,4,63,Medium
67,2,5,6,47,High
68,6,8,1,88,Low
69,4,6,3,68,Medium
70,1,4,7,42,High
71,5,7,2,80,Low
72,3,6,4,62,Medium
73,2,5,6,49,High
74,6,8,1,89,Low
75,4,6,3,66,Medium
76,1,5,7,41,High
77,5,7,2,78,Low
78,3,6,4,61,Medium
79,2,5,6,48,High
80,6,8,1,87,Low
81,4,6,3,67,Medium
82,1,4,7,40,High
83,5,7,2,79,Low
84,3,6,4,64,Medium
85,2,5,6,46,High
86,6,8,1,90,Low
87,4,6,3,69,Medium
88,1,5,7,43,High
89,5,7,2,81,Low
90,3,6,4,63,Medium
91,2,5,6,47,High
92,6,8,1,88,Low
93,4,6,3,68,Medium
94,1,4,7,42,High
95,5,7,2,80,Low
96,3,6,4,62,Medium
97,2,5,6,49,High
98,6,8,1,89,Low
99,4,6,3,66,Medium
100,1,5,7,41,High
